match_id,season,date,kickoff_time,home_team_id,away_team_id,home_goals_scored_avg,home_goals_conceded_avg,away_goals_scored_avg,away_goals_conceded_avg,home_history_matches,away_history_matches,home_home_goals_scored_avg,home_home_goals_conceded_avg,home_home_matches,away_away_goals_scored_avg,away_away_goals_conceded_avg,away_away_matches,home_recent5_scored,home_recent5_conceded,home_recent5_matches,away_recent5_scored,away_recent5_conceded,away_recent5_matches,home_recent10_scored,home_recent10_conceded,home_recent10_matches,away_recent10_scored,away_recent10_conceded,away_recent10_matches,league_matches_before,league_goals_avg,target_total_goals,target_over25
2015_16_20150823_EVE_MCI,2015_16,2015-08-23,,EVE,MCI,2.5,1.0,3.0,0.0,2,2,2.0,2.0,1,3.0,0.0,1,2.5,1.0,2,3.0,0.0,2,2.5,1.0,2,3.0,0.0,2,26,2.6923076923076925,2,0
2015_16_20150823_WAT_SOU,2015_16,2015-08-23,,WAT,SOU,1.0,1.0,1.0,2.5,2,2,0.0,0.0,1,2.0,2.0,1,1.0,1.0,2,1.0,2.5,2,1.0,1.0,2,1.0,2.5,2,27,2.6666666666666665,0,0
2015_16_20150823_WBA_CHE,2015_16,2015-08-23,,WBA,CHE,0.0,1.5,1.0,2.5,2,2,0.0,3.0,1,0.0,3.0,1,0.0,1.5,2,1.0,2.5,2,0.0,1.5,2,1.0,2.5,2,28,2.5714285714285716,5,1
2015_16_20150824_ARS_LIV,2015_16,2015-08-24,,ARS,LIV,1.0,1.5,1.0,0.0,2,2,0.0,2.0,1,1.0,0.0,1,1.0,1.5,2,1.0,0.0,2,1.0,1.5,2,1.0,0.0,2,29,2.6551724137931036,0,0
2015_16_20150829_AVL_SUN,2015_16,2015-08-29,,AVL,SUN,0.6666666666666666,1.0,1.3333333333333333,2.6666666666666665,3,3,0.0,1.0,1,2.0,4.0,1,0.6666666666666666,1.0,3,1.3333333333333333,2.6666666666666665,3,0.6666666666666666,1.0,3,1.3333333333333333,2.6666666666666665,3,30,2.566666666666667,4,1
2015_16_20150829_BOU_LEI,2015_16,2015-08-29,,BOU,LEI,1.3333333333333333,1.6666666666666667,2.3333333333333335,1.3333333333333333,3,3,0.0,1.0,1,2.0,1.0,1,1.3333333333333333,1.6666666666666667,3,2.3333333333333335,1.3333333333333333,3,1.3333333333333333,1.6666666666666667,3,2.3333333333333335,1.3333333333333333,3,31,2.6129032258064515,2,0
2015_16_20150829_CHE_CRY,2015_16,2015-08-29,,CHE,CRY,1.6666666666666667,2.3333333333333335,2.0,1.3333333333333333,3,3,2.0,2.0,1,3.0,1.0,1,1.6666666666666667,2.3333333333333335,3,2.0,1.3333333333333333,3,1.6666666666666667,2.3333333333333335,3,2.0,1.3333333333333333,3,32,2.59375,3,1
2015_16_20150829_LIV_WHU,2015_16,2015-08-29,,LIV,WHU,0.6666666666666666,0.0,2.0,2.0,3,3,1.0,0.0,1,2.0,0.0,1,0.6666666666666666,0.0,3,2.0,2.0,3,0.6666666666666666,0.0,3,2.0,2.0,3,33,2.606060606060606,3,1
2015_16_20150829_MCI_WAT,2015_16,2015-08-29,,MCI,WAT,2.6666666666666665,0.0,0.6666666666666666,0.6666666666666666,3,3,3.0,0.0,1,2.0,2.0,1,2.6666666666666665,0.0,3,0.6666666666666666,0.6666666666666666,3,2.6666666666666665,0.0,3,0.6666666666666666,0.6666666666666666,3,34,2.6176470588235294,2,0
2015_16_20150829_NEW_ARS,2015_16,2015-08-29,,NEW,ARS,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.0,3,3,2.0,2.0,1,2.0,1.0,1,0.6666666666666666,1.3333333333333333,3,0.6666666666666666,1.0,3,0.6666666666666666,1.3333333333333333,3,0.6666666666666666,1.0,3,35,2.6,1,0
2015_16_20150829_STK_WBA,2015_16,2015-08-29,,STK,WBA,1.0,1.3333333333333333,0.6666666666666666,2.0,3,3,0.0,1.0,1,0.0,0.0,1,1.0,1.3333333333333333,3,0.6666666666666666,2.0,3,1.0,1.3333333333333333,3,0.6666666666666666,2.0,3,36,2.5555555555555554,1,0
2015_16_20150829_TOT_EVE,2015_16,2015-08-29,,TOT,EVE,1.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,3,3,2.0,2.0,1,3.0,0.0,1,1.0,1.3333333333333333,3,1.6666666666666667,1.3333333333333333,3,1.0,1.3333333333333333,3,1.6666666666666667,1.3333333333333333,3,37,2.5135135135135136,0,0
2015_16_20150830_SOU_NOR,2015_16,2015-08-30,,SOU,NOR,0.6666666666666666,1.6666666666666667,1.6666666666666667,1.6666666666666667,3,3,0.0,3.0,1,3.0,1.0,1,0.6666666666666666,1.6666666666666667,3,1.6666666666666667,1.6666666666666667,3,0.6666666666666666,1.6666666666666667,3,1.6666666666666667,1.6666666666666667,3,38,2.4473684210526314,3,1
2015_16_20150830_SWA_MUN,2015_16,2015-08-30,,SWA,MUN,1.6666666666666667,1.0,0.6666666666666666,0.0,3,3,2.0,0.0,1,1.0,0.0,1,1.6666666666666667,1.0,3,0.6666666666666666,0.0,3,1.6666666666666667,1.0,3,0.6666666666666666,0.0,3,39,2.4615384615384617,3,1
2015_16_20150912_ARS_STK,2015_16,2015-09-12,,ARS,STK,0.75,0.75,0.75,1.25,4,4,0.0,1.0,2,1.5,1.5,2,0.75,0.75,4,0.75,1.25,4,0.75,0.75,4,0.75,1.25,4,40,2.475,2,0
2015_16_20150912_CRY_MCI,2015_16,2015-09-12,,CRY,MCI,2.0,1.25,2.5,0.0,4,4,1.5,1.5,2,2.5,0.0,2,2.0,1.25,4,2.5,0.0,4,2.0,1.25,4,2.5,0.0,4,41,2.4634146341463414,1,0
2015_16_20150912_EVE_CHE,2015_16,2015-09-12,,EVE,CHE,1.25,1.0,1.5,2.25,4,4,1.0,2.0,2,1.5,2.5,2,1.25,1.0,4,1.5,2.25,4,1.25,1.0,4,1.5,2.25,4,42,2.4285714285714284,4,1
2015_16_20150912_MUN_LIV,2015_16,2015-09-12,,MUN,LIV,0.75,0.5,0.5,0.75,4,4,0.5,0.0,2,0.5,0.0,2,0.75,0.5,4,0.5,0.75,4,0.75,0.5,4,0.5,0.75,4,43,2.4651162790697674,4,1
2015_16_20150912_NOR_BOU,2015_16,2015-09-12,,NOR,BOU,1.25,2.0,1.25,1.5,4,4,1.0,2.0,2,2.0,2.0,2,1.25,2.0,4,1.25,1.5,4,1.25,2.0,4,1.25,1.5,4,44,2.5,4,1
2015_16_20150912_WAT_SWA,2015_16,2015-09-12,,WAT,SWA,0.5,1.0,1.75,1.0,4,4,0.0,0.0,2,1.5,1.5,2,0.5,1.0,4,1.75,1.0,4,0.5,1.0,4,1.75,1.0,4,45,2.533333333333333,1,0
2015_16_20150912_WBA_SOU,2015_16,2015-09-12,,WBA,SOU,0.75,1.5,1.25,1.25,4,4,1.0,3.0,2,1.0,1.0,2,0.75,1.5,4,1.25,1.25,4,0.75,1.5,4,1.25,1.25,4,46,2.5,0,0
