match_id,season,market,selection,price,price_type,price_source,source_column
2015_16_20150814_AVL_MUN,2015_16,OU25,UNDER,1.79,PRE_CLOSING,MARKET_MAX,BbMx<2.5
2015_16_20150815_SOU_EVE,2015_16,OU25,OVER,2.16,PRE_CLOSING,MARKET_AVERAGE,BbAv>2.5
2015_16_20150815_SOU_EVE,2015_16,OU25,UNDER,1.68,PRE_CLOSING,MARKET_AVERAGE,BbAv<2.5
2015_16_20150815_SOU_EVE,2015_16,OU25,OVER,2.23,PRE_CLOSING,MARKET_MAX,BbMx>2.5
2015_16_20150815_SOU_EVE,2015_16,OU25,UNDER,1.76,PRE_CLOSING,MARKET_MAX,BbMx<2.5
2015_16_20150815_SUN_NOR,2015_16,OU25,OVER,2.26,PRE_CLOSING,MARKET_AVERAGE,BbAv>2.5
2015_16_20150815_SUN_NOR,2015_16,OU25,UNDER,1.63,PRE_CLOSING,MARKET_AVERAGE,BbAv<2.5
2015_16_20150815_SUN_NOR,2015_16,OU25,OVER,2.37,PRE_CLOSING,MARKET_MAX,BbMx>2.5
2015_16_20150815_SUN_NOR,2015_16,OU25,UNDER,1.69,PRE_CLOSING,MARKET_MAX,BbMx<2.5
2015_16_20150815_SWA_NEW,2015_16,OU25,OVER,1.94,PRE_CLOSING,MARKET_AVERAGE,BbAv>2.5
2015_16_20150815_SWA_NEW,2015_16,OU25,UNDER,1.86,PRE_CLOSING,MARKET_AVERAGE,BbAv<2.5
2015_16_20150815_SWA_NEW,2015_16,OU25,OVER,2.01,PRE_CLOSING,MARKET_MAX,BbMx>2.5
2015_16_20150815_SWA_NEW,2015_16,OU25,UNDER,1.96,PRE_CLOSING,MARKET_MAX,BbMx<2.5
2015_16_20150815_TOT_STK,2015_16,OU25,OVER,1.93,PRE_CLOSING,MARKET_AVERAGE,BbAv>2.5
2015_16_20150815_TOT_STK,2015_16,OU25,UNDER,1.87,PRE_CLOSING,MARKET_AVERAGE,BbAv<2.5
2015_16_20150815_TOT_STK,2015_16,OU25,OVER,2.0,PRE_CLOSING,MARKET_MAX,BbMx>2.5
2015_16_20150815_TOT_STK,2015_16,OU25,UNDER,1.94,PRE_CLOSING,MARKET_MAX,BbMx<2.5
2015_16_20150815_WAT_WBA,2015_16,OU25,OVER,2.12,PRE_CLOSING,MARKET_AVERAGE,BbAv>2.5
2015_16_20150815_WAT_WBA,2015_16,OU25,UNDER,1.71,PRE_CLOSING,MARKET_AVERAGE,BbAv<2.5
2015_16_20150815_WAT_WBA,2015_16,OU25,OVER,2.22,PRE_CLOSING,MARKET_MAX,BbMx>2.5
2015_16_20150815_WAT_WBA,2015_16,OU25,UNDER,1.78,PRE_CLOSING,MARKET_MAX,BbMx<2.5
2015_16_20150815_WHU_LEI,2015_16,OU25,OVER,1.9,PRE_CLOSING,MARKET_AVERAGE,BbAv>2.5
2015_16_20150815_WHU_LEI,2015_16,OU25,UNDER,1.9,PRE_CLOSING,MARKET_AVERAGE,BbAv<2.5
2015_16_20150815_WHU_LEI,2015_16,OU25,OVER,1.97,PRE_CLOSING,MARKET_MAX,BbMx>2.5
2015_16_20150815_WHU_LEI,2015_16,OU25,UNDER,2.0,PRE_CLOSING,MARKET_MAX,BbMx<2.5
2015_16_20150816_CRY_ARS,2015_16,OU25,OVER,1.84,PRE_CLOSING,MARKET_AVERAGE,BbAv>2.5
2015_16_20150816_CRY_ARS,2015_16,OU25,UNDER,1.96,PRE_CLOSING,MARKET_AVERAGE,BbAv<2.5
2015_16_20150816_CRY_ARS,2015_16,OU25,OVER,1.9,PRE_CLOSING,MARKET_MAX,BbMx>2.5
2015_16_20150816_CRY_ARS,2015_16,OU25,UNDER,2.03,PRE_CLOSING,MARKET_MAX,BbMx<2.5
2015_16_20150816_MCI_CHE,2015_16,OU25,OVER,1.98,PRE_CLOSING,MARKET_AVERAGE,BbAv>2.5
2015_16_20150816_MCI_CHE,2015_16,OU25,UNDER,1.82,PRE_CLOSING,MARKET_AVERAGE,BbAv<2.5
2015_16_20150816_MCI_CHE,2015_16,OU25,OVER,2.05,PRE_CLOSING,MARKET_MAX,BbMx>2.5
2015_16_20150816_MCI_CHE,2015_16,OU25,UNDER,1.88,PRE_CLOSING,MARKET_MAX,BbMx<2.5
2015_16_20150817_LIV_BOU,2015_16,OU25,OVER,1.75,PRE_CLOSING,MARKET_AVERAGE,BbAv>2.5
2015_16_20150817_LIV_BOU,2015_16,OU25,UNDER,2.05,PRE_CLOSING,MARKET_AVERAGE,BbAv<2.5
2015_16_20150817_LIV_BOU,2015_16,OU25,OVER,1.83,PRE_CLOSING,MARKET_MAX,BbMx>2.5
2015_16_20150817_LIV_BOU,2015_16,OU25,UNDER,2.2,PRE_CLOSING,MARKET_MAX,BbMx<2.5
2015_16_20150822_CRY_AVL,2015_16,OU25,OVER,2.08,PRE_CLOSING,MARKET_AVERAGE,BbAv>2.5
2015_16_20150822_CRY_AVL,2015_16,OU25,UNDER,1.73,PRE_CLOSING,MARKET_AVERAGE,BbAv<2.5
2015_16_20150822_CRY_AVL,2015_16,OU25,OVER,2.16,PRE_CLOSING,MARKET_MAX,BbMx>2.5
2015_16_20150822_CRY_AVL,2015_16,OU25,UNDER,1.81,PRE_CLOSING,MARKET_MAX,BbMx<2.5
2015_16_20150822_LEI_TOT,2015_16,OU25,OVER,1.78,PRE_CLOSING,MARKET_AVERAGE,BbAv>2.5
2015_16_20150822_LEI_TOT,2015_16,OU25,UNDER,1.97,PRE_CLOSING,MARKET_AVERAGE,BbAv<2.5
2015_16_20150822_LEI_TOT,2015_16,OU25,OVER,1.88,PRE_CLOSING,MARKET_MAX,BbMx>2.5
2015_16_20150822_LEI_TOT,2015_16,OU25,UNDER,2.09,PRE_CLOSING,MARKET_MAX,BbMx<2.5
2015_16_20150822_MUN_NEW,2015_16,OU25,OVER,1.74,PRE_CLOSING,MARKET_AVERAGE,BbAv>2.5
2015_16_20150822_MUN_NEW,2015_16,OU25,UNDER,2.06,PRE_CLOSING,MARKET_AVERAGE,BbAv<2.5
2015_16_20150822_MUN_NEW,2015_16,OU25,OVER,1.81,PRE_CLOSING,MARKET_MAX,BbMx>2.5
2015_16_20150822_MUN_NEW,2015_16,OU25,UNDER,2.15,PRE_CLOSING,MARKET_MAX,BbMx<2.5
2015_16_20150822_NOR_STK,2015_16,OU25,OVER,2.14,PRE_CLOSING,MARKET_AVERAGE,BbAv>2.5
2015_16_20150822_NOR_STK,2015_16,OU25,UNDER,1.69,PRE_CLOSING,MARKET_AVERAGE,BbAv<2.5
2015_16_20150822_NOR_STK,2015_16,OU25,OVER,2.22,PRE_CLOSING,MARKET_MAX,BbMx>2.5
2015_16_20150822_NOR_STK,2015_16,OU25,UNDER,1.76,PRE_CLOSING,MARKET_MAX,BbMx<2.5
2015_16_20150822_SUN_SWA,2015_16,OU25,OVER,2.18,PRE_CLOSING,MARKET_AVERAGE,BbAv>2.5
2015_16_20150822_SUN_SWA,2015_16,OU25,UNDER,1.67,PRE_CLOSING,MARKET_AVERAGE,BbAv<2.5
2015_16_20150822_SUN_SWA,2015_16,OU25,OVER,2.25,PRE_CLOSING,MARKET_MAX,BbMx>2.5
2015_16_20150822_SUN_SWA,2015_16,OU25,UNDER,1.74,PRE_CLOSING,MARKET_MAX,BbMx<2.5
2015_16_20150822_WHU_BOU,2015_16,OU25,OVER,1.9,PRE_CLOSING,MARKET_AVERAGE,BbAv>2.5
2015_16_20150822_WHU_BOU,2015_16,OU25,UNDER,1.89,PRE_CLOSING,MARKET_AVERAGE,BbAv<2.5
2015_16_20150822_WHU_BOU,2015_16,OU25,OVER,1.98,PRE_CLOSING,MARKET_MAX,BbMx>2.5
2015_16_20150822_WHU_BOU,2015_16,OU25,UNDER,1.96,PRE_CLOSING,MARKET_MAX,BbMx<2.5
2015_16_20150823_EVE_MCI,2015_16,OU25,OVER,1.66,PRE_CLOSING,MARKET_AVERAGE,BbAv>2.5
2015_16_20150823_EVE_MCI,2015_16,OU25,UNDER,2.2,PRE_CLOSING,MARKET_AVERAGE,BbAv<2.5
2015_16_20150823_EVE_MCI,2015_16,OU25,OVER,1.73,PRE_CLOSING,MARKET_MAX,BbMx>2.5
2015_16_20150823_EVE_MCI,2015_16,OU25,UNDER,2.3,PRE_CLOSING,MARKET_MAX,BbMx<2.5
2015_16_20150823_WAT_SOU,2015_16,OU25,OVER,2.13,PRE_CLOSING,MARKET_AVERAGE,BbAv>2.5
2015_16_20150823_WAT_SOU,2015_16,OU25,UNDER,1.7,PRE_CLOSING,MARKET_AVERAGE,BbAv<2.5
2015_16_20150823_WAT_SOU,2015_16,OU25,OVER,2.2,PRE_CLOSING,MARKET_MAX,BbMx>2.5
2015_16_20150823_WAT_SOU,2015_16,OU25,UNDER,1.78,PRE_CLOSING,MARKET_MAX,BbMx<2.5
2015_16_20150823_WBA_CHE,2015_16,OU25,OVER,2.07,PRE_CLOSING,MARKET_AVERAGE,BbAv>2.5
2015_16_20150823_WBA_CHE,2015_16,OU25,UNDER,1.74,PRE_CLOSING,MARKET_AVERAGE,BbAv<2.5
2015_16_20150823_WBA_CHE,2015_16,OU25,OVER,2.15,PRE_CLOSING,MARKET_MAX,BbMx>2.5
2015_16_20150823_WBA_CHE,2015_16,OU25,UNDER,1.8,PRE_CLOSING,MARKET_MAX,BbMx<2.5
2015_16_20150824_ARS_LIV,2015_16,OU25,OVER,1.77,PRE_CLOSING,MARKET_AVERAGE,BbAv>2.5
2015_16_20150824_ARS_LIV,2015_16,OU25,UNDER,2.02,PRE_CLOSING,MARKET_AVERAGE,BbAv<2.5
2015_16_20150824_ARS_LIV,2015_16,OU25,OVER,1.84,PRE_CLOSING,MARKET_MAX,BbMx>2.5
2015_16_20150824_ARS_LIV,2015_16,OU25,UNDER,2.15,PRE_CLOSING,MARKET_MAX,BbMx<2.5
2015_16_20150829_AVL_SUN,2015_16,OU25,OVER,2.22,PRE_CLOSING,MARKET_AVERAGE,BbAv>2.5
2015_16_20150829_AVL_SUN,2015_16,OU25,UNDER,1.64,PRE_CLOSING,MARKET_AVERAGE,BbAv<2.5
2015_16_20150829_AVL_SUN,2015_16,OU25,OVER,2.34,PRE_CLOSING,MARKET_MAX,BbMx>2.5
2015_16_20150829_AVL_SUN,2015_16,OU25,UNDER,1.7,PRE_CLOSING,MARKET_MAX,BbMx<2.5
2015_16_20150829_BOU_LEI,2015_16,OU25,OVER,1.86,PRE_CLOSING,MARKET_AVERAGE,BbAv>2.5
2015_16_20150829_BOU_LEI,2015_16,OU25,UNDER,1.94,PRE_CLOSING,MARKET_AVERAGE,BbAv<2.5
2015_16_20150829_BOU_LEI,2015_16,OU25,OVER,1.91,PRE_CLOSING,MARKET_MAX,BbMx>2.5
2015_16_20150829_BOU_LEI,2015_16,OU25,UNDER,2.03,PRE_CLOSING,MARKET_MAX,BbMx<2.5
2015_16_20150829_CHE_CRY,2015_16,OU25,OVER,1.68,PRE_CLOSING,MARKET_AVERAGE,BbAv>2.5
2015_16_20150829_CHE_CRY,2015_16,OU25,UNDER,2.15,PRE_CLOSING,MARKET_AVERAGE,BbAv<2.5
2015_16_20150829_CHE_CRY,2015_16,OU25,OVER,1.75,PRE_CLOSING,MARKET_MAX,BbMx>2.5
2015_16_20150829_CHE_CRY,2015_16,OU25,UNDER,2.25,PRE_CLOSING,MARKET_MAX,BbMx<2.5
2015_16_20150829_LIV_WHU,2015_16,OU25,OVER,1.68,PRE_CLOSING,MARKET_AVERAGE,BbAv>2.5
2015_16_20150829_LIV_WHU,2015_16,OU25,UNDER,2.17,PRE_CLOSING,MARKET_AVERAGE,BbAv<2.5
2015_16_20150829_LIV_WHU,2015_16,OU25,OVER,1.74,PRE_CLOSING,MARKET_MAX,BbMx>2.5
2015_16_20150829_LIV_WHU,2015_16,OU25,UNDER,2.3,PRE_CLOSING,MARKET_MAX,BbMx<2.5
2015_16_20150829_MCI_WAT,2015_16,OU25,OVER,1.37,PRE_CLOSING,MARKET_AVERAGE,BbAv>2.5
2015_16_20150829_MCI_WAT,2015_16,OU25,UNDER,2.98,PRE_CLOSING,MARKET_AVERAGE,BbAv<2.5
2015_16_20150829_MCI_WAT,2015_16,OU25,OVER,1.4,PRE_CLOSING,MARKET_MAX,BbMx>2.5
2015_16_20150829_MCI_WAT,2015_16,OU25,UNDER,3.15,PRE_CLOSING,MARKET_MAX,BbMx<2.5
2015_16_20150829_NEW_ARS,2015_16,OU25,OVER,1.8,PRE_CLOSING,MARKET_AVERAGE,BbAv>2.5
2015_16_20150829_NEW_ARS,2015_16,OU25,UNDER,2.0,PRE_CLOSING,MARKET_AVERAGE,BbAv<2.5
2015_16_20150829_NEW_ARS,2015_16,OU25,OVER,1.87,PRE_CLOSING,MARKET_MAX,BbMx>2.5
2015_16_20150829_NEW_ARS,2015_16,OU25,UNDER,2.1,PRE_CLOSING,MARKET_MAX,BbMx<2.5
2015_16_20150829_STK_WBA,2015_16,OU25,OVER,2.23,PRE_CLOSING,MARKET_AVERAGE,BbAv>2.5
2015_16_20150829_STK_WBA,2015_16,OU25,UNDER,1.64,PRE_CLOSING,MARKET_AVERAGE,BbAv<2.5
2015_16_20150829_STK_WBA,2015_16,OU25,OVER,2.31,PRE_CLOSING,MARKET_MAX,BbMx>2.5
2015_16_20150829_STK_WBA,2015_16,OU25,UNDER,1.71,PRE_CLOSING,MARKET_MAX,BbMx<2.5
2015_16_20150829_TOT_EVE,2015_16,OU25,OVER,1.83,PRE_CLOSING,MARKET_AVERAGE,BbAv>2.5
2015_16_20150829_TOT_EVE,2015_16,OU25,UNDER,1.96,PRE_CLOSING,MARKET_AVERAGE,BbAv<2.5
2015_16_20150829_TOT_EVE,2015_16,OU25,OVER,1.89,PRE_CLOSING,MARKET_MAX,BbMx>2.5
2015_16_20150829_TOT_EVE,2015_16,OU25,UNDER,2.05,PRE_CLOSING,MARKET_MAX,BbMx<2.5
2015_16_20150830_SOU_NOR,2015_16,OU25,OVER,2.01,PRE_CLOSING,MARKET_AVERAGE,BbAv>2.5
2015_16_20150830_SOU_NOR,2015_16,OU25,UNDER,1.79,PRE_CLOSING,MARKET_AVERAGE,BbAv<2.5
2015_16_20150830_SOU_NOR,2015_16,OU25,OVER,2.1,PRE_CLOSING,MARKET_MAX,BbMx>2.5
2015_16_20150830_SOU_NOR,2015_16,OU25,UNDER,1.85,PRE_CLOSING,MARKET_MAX,BbMx<2.5
2015_16_20150830_SWA_MUN,2015_16,OU25,OVER,2.08,PRE_CLOSING,MARKET_AVERAGE,BbAv>2.5
2015_16_20150830_SWA_MUN,2015_16,OU25,UNDER,1.74,PRE_CLOSING,MARKET_AVERAGE,BbAv<2.5
2015_16_20150830_SWA_MUN,2015_16,OU25,OVER,2.2,PRE_CLOSING,MARKET_MAX,BbMx>2.5
2015_16_20150830_SWA_MUN,2015_16,OU25,UNDER,1.83,PRE_CLOSING,MARKET_MAX,BbMx<2.5
2015_16_20150912_ARS_STK,2015_16,OU25,OVER,1.63,PRE_CLOSING,MARKET_AVERAGE,BbAv>2.5
2015_16_20150912_ARS_STK,2015_16,OU25,UNDER,2.25,PRE_CLOSING,MARKET_AVERAGE,BbAv<2.5
2015_16_20150912_ARS_STK,2015_16,OU25,OVER,1.68,PRE_CLOSING,MARKET_MAX,BbMx>2.5
2015_16_20150912_ARS_STK,2015_16,OU25,UNDER,2.33,PRE_CLOSING,MARKET_MAX,BbMx<2.5
2015_16_20150912_CRY_MCI,2015_16,OU25,OVER,1.63,PRE_CLOSING,MARKET_AVERAGE,BbAv>2.5
2015_16_20150912_CRY_MCI,2015_16,OU25,UNDER,2.27,PRE_CLOSING,MARKET_AVERAGE,BbAv<2.5
2015_16_20150912_CRY_MCI,2015_16,OU25,OVER,1.67,PRE_CLOSING,MARKET_MAX,BbMx>2.5
2015_16_20150912_CRY_MCI,2015_16,OU25,UNDER,2.35,PRE_CLOSING,MARKET_MAX,BbMx<2.5
2015_16_20150912_EVE_CHE,2015_16,OU25,OVER,1.99,PRE_CLOSING,MARKET_AVERAGE,BbAv>2.5
2015_16_20150912_EVE_CHE,2015_16,OU25,UNDER,1.82,PRE_CLOSING,MARKET_AVERAGE,BbAv<2.5
2015_16_20150912_EVE_CHE,2015_16,OU25,OVER,2.05,PRE_CLOSING,MARKET_MAX,BbMx>2.5
2015_16_20150912_EVE_CHE,2015_16,OU25,UNDER,1.89,PRE_CLOSING,MARKET_MAX,BbMx<2.5
2015_16_20150912_MUN_LIV,2015_16,OU25,OVER,2.13,PRE_CLOSING,MARKET_AVERAGE,BbAv>2.5
2015_16_20150912_MUN_LIV,2015_16,OU25,UNDER,1.7,PRE_CLOSING,MARKET_AVERAGE,BbAv<2.5
2015_16_20150912_MUN_LIV,2015_16,OU25,OVER,2.22,PRE_CLOSING,MARKET_MAX,BbMx>2.5
2015_16_20150912_MUN_LIV,2015_16,OU25,UNDER,1.77,PRE_CLOSING,MARKET_MAX,BbMx<2.5
2015_16_20150912_NOR_BOU,2015_16,OU25,OVER,1.91,PRE_CLOSING,MARKET_AVERAGE,BbAv>2.5
2015_16_20150912_NOR_BOU,2015_16,OU25,UNDER,1.89,PRE_CLOSING,MARKET_AVERAGE,BbAv<2.5
2015_16_20150912_NOR_BOU,2015_16,OU25,OVER,1.98,PRE_CLOSING,MARKET_MAX,BbMx>2.5
2015_16_20150912_NOR_BOU,2015_16,OU25,UNDER,1.99,PRE_CLOSING,MARKET_MAX,BbMx<2.5
2015_16_20150912_WAT_SWA,2015_16,OU25,OVER,2.13,PRE_CLOSING,MARKET_AVERAGE,BbAv>2.5
2015_16_20150912_WAT_SWA,2015_16,OU25,UNDER,1.7,PRE_CLOSING,MARKET_AVERAGE,BbAv<2.5
2015_16_20150912_WAT_SWA,2015_16,OU25,OVER,2.24,PRE_CLOSING,MARKET_MAX,BbMx>2.5
2015_16_20150912_WAT_SWA,2015_16,OU25,UNDER,1.76,PRE_CLOSING,MARKET_MAX,BbMx<2.5
