match_id,season,market,selection,opening_price,opening_source_column,opening_source,closing_price,closing_source_column,closing_source,has_opening,has_closing,raw_row,closing_implied_probability,opening_implied_probability,price_change,implied_probability_change,closing_available,opening_available,odds_change,odds_change_pct,probability_change,clv,movement
2019_20_11/08/2019_Man United_Chelsea,2019_20,OVER_2.5,OVER_2.5,2.0,B365>2.5,BET365,2.0,B365C>2.5,BET365,True,True,9,0.5,0.5,0.0,0.0,True,True,0.0,0.0,0.0,0.0,UNCHANGED
2019_20_11/08/2019_Man United_Chelsea,2019_20,OVER_2.5,UNDER_2.5,1.8,B365<2.5,BET365,1.8,B365C<2.5,BET365,True,True,9,0.5555555555555556,0.5555555555555556,0.0,0.0,True,True,0.0,0.0,0.0,0.0,UNCHANGED
2019_20_17/08/2019_Arsenal_Burnley,2019_20,OVER_2.5,OVER_2.5,1.57,B365>2.5,BET365,1.61,B365C>2.5,BET365,True,True,10,0.6211180124223602,0.6369426751592356,0.04,-0.0158246627368754,True,True,0.040000000000000036,0.02547770700636942,-0.01582466273687544,0.02547770700636942,DRIFTED
2019_20_17/08/2019_Arsenal_Burnley,2019_20,OVER_2.5,UNDER_2.5,2.37,B365<2.5,BET365,2.3,B365C<2.5,BET365,True,True,10,0.4347826086956522,0.42194092827004215,-0.0700000000000002,0.01284168042561,True,True,-0.07000000000000028,-0.029535864978903037,0.01284168042561007,-0.029535864978903037,SHORTENED
2019_20_17/08/2019_Aston Villa_Bournemouth,2019_20,OVER_2.5,OVER_2.5,1.8,B365>2.5,BET365,1.61,B365C>2.5,BET365,True,True,11,0.6211180124223602,0.5555555555555556,-0.1899999999999999,0.0655624568668046,True,True,-0.18999999999999995,-0.10555555555555551,0.06556245686680462,-0.10555555555555551,SHORTENED
2019_20_17/08/2019_Aston Villa_Bournemouth,2019_20,OVER_2.5,UNDER_2.5,2.0,B365<2.5,BET365,2.3,B365C<2.5,BET365,True,True,11,0.4347826086956522,0.5,0.2999999999999998,-0.0652173913043477,True,True,0.2999999999999998,0.1499999999999999,-0.06521739130434778,0.1499999999999999,DRIFTED
2019_20_17/08/2019_Brighton_West Ham,2019_20,OVER_2.5,OVER_2.5,1.9,B365>2.5,BET365,1.9,B365C>2.5,BET365,True,True,12,0.5263157894736842,0.5263157894736842,0.0,0.0,True,True,0.0,0.0,0.0,0.0,UNCHANGED
2019_20_17/08/2019_Brighton_West Ham,2019_20,OVER_2.5,UNDER_2.5,1.9,B365<2.5,BET365,1.9,B365C<2.5,BET365,True,True,12,0.5263157894736842,0.5263157894736842,0.0,0.0,True,True,0.0,0.0,0.0,0.0,UNCHANGED
2019_20_17/08/2019_Everton_Watford,2019_20,OVER_2.5,OVER_2.5,1.72,B365>2.5,BET365,1.72,B365C>2.5,BET365,True,True,13,0.5813953488372093,0.5813953488372093,0.0,0.0,True,True,0.0,0.0,0.0,0.0,UNCHANGED
2019_20_17/08/2019_Everton_Watford,2019_20,OVER_2.5,UNDER_2.5,2.1,B365<2.5,BET365,2.1,B365C<2.5,BET365,True,True,13,0.47619047619047616,0.47619047619047616,0.0,0.0,True,True,0.0,0.0,0.0,0.0,UNCHANGED
2019_20_17/08/2019_Norwich_Newcastle,2019_20,OVER_2.5,OVER_2.5,1.9,B365>2.5,BET365,1.9,B365C>2.5,BET365,True,True,14,0.5263157894736842,0.5263157894736842,0.0,0.0,True,True,0.0,0.0,0.0,0.0,UNCHANGED
2019_20_17/08/2019_Norwich_Newcastle,2019_20,OVER_2.5,UNDER_2.5,1.9,B365<2.5,BET365,1.9,B365C<2.5,BET365,True,True,14,0.5263157894736842,0.5263157894736842,0.0,0.0,True,True,0.0,0.0,0.0,0.0,UNCHANGED
2019_20_17/08/2019_Southampton_Liverpool,2019_20,OVER_2.5,OVER_2.5,1.66,B365>2.5,BET365,1.61,B365C>2.5,BET365,True,True,15,0.6211180124223602,0.6024096385542169,-0.0499999999999998,0.0187083738681432,True,True,-0.04999999999999982,-0.030120481927710774,0.01870837386814328,-0.030120481927710774,SHORTENED
2019_20_17/08/2019_Southampton_Liverpool,2019_20,OVER_2.5,UNDER_2.5,2.2,B365<2.5,BET365,2.3,B365C<2.5,BET365,True,True,15,0.4347826086956522,0.45454545454545453,0.0999999999999996,-0.0197628458498023,True,True,0.09999999999999964,0.04545454545454519,-0.019762845849802313,0.04545454545454519,DRIFTED
2019_20_17/08/2019_Man City_Tottenham,2019_20,OVER_2.5,OVER_2.5,1.53,B365>2.5,BET365,1.5,B365C>2.5,BET365,True,True,16,0.6666666666666666,0.6535947712418301,-0.03,0.0130718954248365,True,True,-0.030000000000000027,-0.019607843137254943,0.013071895424836555,-0.019607843137254943,SHORTENED
