match_id,season,market,selection,opening_price,opening_source_column,opening_source,closing_price,closing_source_column,closing_source,has_opening,has_closing,raw_row,closing_implied_probability,opening_implied_probability,price_change,implied_probability_change,closing_available,opening_available
2015_16_15/08/2015_West Ham_Leicester,2015_16,OVER_2.5,UNDER,1.9,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,16,,0.5263157894736842,,,False,True
2015_16_16/08/2015_Crystal Palace_Arsenal,2015_16,OVER_2.5,OVER,1.84,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,17,,0.5434782608695652,,,False,True
2015_16_16/08/2015_Crystal Palace_Arsenal,2015_16,OVER_2.5,UNDER,1.96,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,17,,0.5102040816326531,,,False,True
2015_16_16/08/2015_Man City_Chelsea,2015_16,OVER_2.5,OVER,1.98,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,18,,0.5050505050505051,,,False,True
2015_16_16/08/2015_Man City_Chelsea,2015_16,OVER_2.5,UNDER,1.82,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,18,,0.5494505494505494,,,False,True
2015_16_17/08/2015_Liverpool_Bournemouth,2015_16,OVER_2.5,OVER,1.75,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,19,,0.5714285714285714,,,False,True
2015_16_17/08/2015_Liverpool_Bournemouth,2015_16,OVER_2.5,UNDER,2.05,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,19,,0.48780487804878053,,,False,True
2015_16_22/08/2015_Crystal Palace_Aston Villa,2015_16,OVER_2.5,OVER,2.08,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,20,,0.4807692307692307,,,False,True
2015_16_22/08/2015_Crystal Palace_Aston Villa,2015_16,OVER_2.5,UNDER,1.73,BbAv<2.5,BETBOOK_AVERAGE,,,,True,False,20,,0.5780346820809249,,,False,True
2015_16_22/08/2015_Leicester_Tottenham,2015_16,OVER_2.5,OVER,1.78,BbAv>2.5,BETBOOK_AVERAGE,,,,True,False,21,,0.5617977528089888,,,False,True
