match_id,season,opening_price,closing_price,opening_raw_probability,closing_raw_probability,opening_fair_probability,closing_fair_probability,fair_probability_change,price_clv,fair_probability_clv,opening_overround,closing_overround,opening_margin,closing_margin,selection
2019_20_01/01/2020_Arsenal_Man United,2019_20,1.66,1.61,0.6024096385542169,0.6211180124223602,0.5699481865284974,0.588235294117647,0.01828710758914953,0.03105590062111796,-0.03108808290155418,1.0569550930996714,1.0559006211180124,0.056955093099671394,0.05590062111801242,OVER
2019_20_01/01/2020_Brighton_Chelsea,2019_20,1.72,1.72,0.5813953488372093,0.5813953488372093,0.549738219895288,0.549738219895288,0.0,0.0,0.0,1.0575858250276855,1.0575858250276855,0.0575858250276855,0.0575858250276855,OVER
2019_20_01/01/2020_Burnley_Aston Villa,2019_20,1.9,2.0,0.5263157894736842,0.5,0.5,0.47368421052631576,-0.026315789473684237,-0.050000000000000044,0.05555555555555558,1.0526315789473684,1.0555555555555556,0.05263157894736836,0.05555555555555558,OVER
2019_20_01/01/2020_Man City_Everton,2019_20,1.36,1.44,0.7352941176470588,0.6944444444444444,0.7017543859649122,0.6563245823389022,-0.04542980362601001,-0.05555555555555547,0.06921850079744796,1.0477941176470589,1.058080808080808,0.047794117647058876,0.058080808080807955,OVER
2019_20_01/01/2020_Newcastle_Leicester,2019_20,1.9,1.9,0.5263157894736842,0.5263157894736842,0.5,0.5,0.0,0.0,0.0,1.0526315789473684,1.0526315789473684,0.05263157894736836,0.05263157894736836,OVER
2019_20_01/01/2020_Norwich_Crystal Palace,2019_20,1.9,2.0,0.5263157894736842,0.5,0.5,0.47368421052631576,-0.026315789473684237,-0.050000000000000044,0.05555555555555558,1.0526315789473684,1.0555555555555556,0.05263157894736836,0.05555555555555558,OVER
2019_20_01/01/2020_Southampton_Tottenham,2019_20,1.66,1.66,0.6024096385542169,0.6024096385542169,0.5699481865284974,0.5699481865284974,0.0,0.0,0.0,1.0569550930996714,1.0569550930996714,0.056955093099671394,0.056955093099671394,OVER
2019_20_01/01/2020_Watford_Wolves,2019_20,2.0,2.2,0.5,0.45454545454545453,0.47368421052631576,0.43005181347150256,-0.0436323970548132,-0.09090909090909094,0.10145846544071024,1.0555555555555556,1.0569550930996714,0.05555555555555558,0.056955093099671394,OVER
2019_20_01/01/2020_West Ham_Bournemouth,2019_20,1.66,1.9,0.6024096385542169,0.5263157894736842,0.5699481865284974,0.5,-0.06994818652849744,-0.12631578947368416,0.13989637305699487,1.0569550930996714,1.0526315789473684,0.056955093099671394,0.05263157894736836,OVER
2019_20_01/02/2020_Bournemouth_Aston Villa,2019_20,1.8,2.0,0.5555555555555556,0.5,0.5263157894736842,0.47368421052631576,-0.05263157894736842,-0.09999999999999998,0.11111111111111116,1.0555555555555556,1.0555555555555556,0.05555555555555558,0.05555555555555558,OVER
2019_20_01/02/2020_Crystal Palace_Sheffield United,2019_20,2.62,2.75,0.38167938931297707,0.36363636363636365,0.3640776699029127,0.3436754176610979,-0.0204022522418148,-0.047272727272727244,0.05936488673139162,1.0483460559796436,1.058080808080808,0.04834605597964359,0.058080808080807955,OVER
2019_20_01/02/2020_Leicester_Chelsea,2019_20,1.72,1.8,0.5813953488372093,0.5555555555555556,0.549738219895288,0.5263157894736842,-0.023422430421603857,-0.04444444444444451,0.04450261780104725,1.0575858250276855,1.0555555555555556,0.0575858250276855,0.05555555555555558,OVER
2019_20_01/02/2020_Liverpool_Southampton,2019_20,1.53,1.53,0.6535947712418301,0.6535947712418301,0.6203473945409429,0.6203473945409429,0.0,0.0,0.0,1.05359477124183,1.05359477124183,0.0535947712418301,0.0535947712418301,OVER
