match_id,season,selection,opening_price,closing_price,opening_raw_probability,closing_raw_probability,opening_fair_probability,closing_fair_probability,opening_overround,closing_overround,opening_margin,closing_margin,price_clv,fair_probability_clv
2019_20_01/01/2020_Arsenal_Man United,2019_20,OVER,1.66,1.61,0.6024096385542169,0.6211180124223602,0.5699481865284974,0.588235294117647,1.0569550930996714,1.0559006211180124,0.056955093099671394,0.05590062111801242,0.03105590062111796,0.03208556149732589
2019_20_01/01/2020_Brighton_Chelsea,2019_20,OVER,1.72,1.72,0.5813953488372093,0.5813953488372093,0.549738219895288,0.549738219895288,1.0575858250276855,1.0575858250276855,0.0575858250276855,0.0575858250276855,0.0,0.0
2019_20_01/01/2020_Burnley_Aston Villa,2019_20,OVER,1.9,2.0,0.5263157894736842,0.5,0.5,0.47368421052631576,1.0526315789473684,1.0555555555555556,0.05263157894736836,0.05555555555555558,-0.050000000000000044,-0.052631578947368474
2019_20_01/01/2020_Man City_Everton,2019_20,OVER,1.36,1.44,0.7352941176470588,0.6944444444444444,0.7017543859649122,0.6563245823389022,1.0477941176470589,1.058080808080808,0.047794117647058876,0.058080808080807955,-0.05555555555555547,-0.06473747016706433
2019_20_01/01/2020_Newcastle_Leicester,2019_20,OVER,1.9,1.9,0.5263157894736842,0.5263157894736842,0.5,0.5,1.0526315789473684,1.0526315789473684,0.05263157894736836,0.05263157894736836,0.0,0.0
2019_20_01/01/2020_Norwich_Crystal Palace,2019_20,OVER,1.9,2.0,0.5263157894736842,0.5,0.5,0.47368421052631576,1.0526315789473684,1.0555555555555556,0.05263157894736836,0.05555555555555558,-0.050000000000000044,-0.052631578947368474
2019_20_01/01/2020_Southampton_Tottenham,2019_20,OVER,1.66,1.66,0.6024096385542169,0.6024096385542169,0.5699481865284974,0.5699481865284974,1.0569550930996714,1.0569550930996714,0.056955093099671394,0.056955093099671394,0.0,0.0
2019_20_01/01/2020_Watford_Wolves,2019_20,OVER,2.0,2.2,0.5,0.45454545454545453,0.47368421052631576,0.43005181347150256,1.0555555555555556,1.0569550930996714,0.05555555555555558,0.056955093099671394,-0.09090909090909094,-0.09211283822682792
2019_20_01/01/2020_West Ham_Bournemouth,2019_20,OVER,1.66,1.9,0.6024096385542169,0.5263157894736842,0.5699481865284974,0.5,1.0569550930996714,1.0526315789473684,0.056955093099671394,0.05263157894736836,-0.12631578947368416,-0.1227272727272728
2019_20_01/02/2020_Bournemouth_Aston Villa,2019_20,OVER,1.8,2.0,0.5555555555555556,0.5,0.5263157894736842,0.47368421052631576,1.0555555555555556,1.0555555555555556,0.05555555555555558,0.05555555555555558,-0.09999999999999998,-0.09999999999999998
2019_20_01/02/2020_Crystal Palace_Sheffield United,2019_20,OVER,2.62,2.75,0.38167938931297707,0.36363636363636365,0.3640776699029127,0.3436754176610979,1.0483460559796436,1.058080808080808,0.04834605597964359,0.058080808080807955,-0.047272727272727244,-0.05603818615751799
2019_20_01/02/2020_Leicester_Chelsea,2019_20,OVER,1.72,1.8,0.5813953488372093,0.5555555555555556,0.549738219895288,0.5263157894736842,1.0575858250276855,1.0555555555555556,0.0575858250276855,0.05555555555555558,-0.04444444444444451,-0.04260651629072698
2019_20_01/02/2020_Liverpool_Southampton,2019_20,OVER,1.53,1.53,0.6535947712418301,0.6535947712418301,0.6203473945409429,0.6203473945409429,1.05359477124183,1.05359477124183,0.0535947712418301,0.0535947712418301,0.0,0.0
2019_20_01/02/2020_Man United_Wolves,2019_20,OVER,2.2,2.2,0.45454545454545453,0.45454545454545453,0.43005181347150256,0.43005181347150256,1.0569550930996714,1.0569550930996714,0.056955093099671394,0.056955093099671394,0.0,0.0
2019_20_01/02/2020_Newcastle_Norwich,2019_20,OVER,2.0,2.1,0.5,0.47619047619047616,0.47368421052631576,0.450261780104712,1.0555555555555556,1.0575858250276855,0.05555555555555558,0.0575858250276855,-0.04761904761904767,-0.04944735311227455
2019_20_01/02/2020_Watford_Everton,2019_20,OVER,2.0,2.0,0.5,0.5,0.47368421052631576,0.47368421052631576,1.0555555555555556,1.0555555555555556,0.05555555555555558,0.05555555555555558,0.0,0.0
2019_20_01/02/2020_West Ham_Brighton,2019_20,OVER,1.9,1.9,0.5263157894736842,0.5263157894736842,0.5,0.5,1.0526315789473684,1.0526315789473684,0.05263157894736836,0.05263157894736836,0.0,0.0
2019_20_01/03/2020_Everton_Man United,2019_20,OVER,1.9,1.9,0.5263157894736842,0.5263157894736842,0.5,0.5,1.0526315789473684,1.0526315789473684,0.05263157894736836,0.05263157894736836,0.0,0.0
2019_20_01/03/2020_Tottenham_Wolves,2019_20,OVER,2.2,2.37,0.45454545454545453,0.42194092827004215,0.43005181347150256,0.398477157360406,1.0569550930996714,1.058883603429278,0.056955093099671394,0.0588836034292779,-0.07172995780590719,-0.07342058589688716
2019_20_01/07/2020_Arsenal_Norwich,2019_20,OVER,1.72,1.57,0.5813953488372093,0.6369426751592356,0.549738219895288,0.6015228426395939,1.0575858250276855,1.058883603429278,0.0575858250276855,0.0588836034292779,0.09554140127388533,0.0941986947063087
2019_20_01/07/2020_Bournemouth_Newcastle,2019_20,OVER,2.37,2.37,0.42194092827004215,0.42194092827004215,0.398477157360406,0.398477157360406,1.058883603429278,1.058883603429278,0.0588836034292779,0.0588836034292779,0.0,0.0
2019_20_01/07/2020_Everton_Leicester,2019_20,OVER,2.1,2.2,0.47619047619047616,0.45454545454545453,0.450261780104712,0.43005181347150256,1.0575858250276855,1.0569550930996714,0.0575858250276855,0.056955093099671394,-0.045454545454545525,-0.04488492589468607
2019_20_01/07/2020_West Ham_Chelsea,2019_20,OVER,1.72,1.72,0.5813953488372093,0.5813953488372093,0.549738219895288,0.549738219895288,1.0575858250276855,1.0575858250276855,0.0575858250276855,0.0575858250276855,0.0,0.0
2019_20_01/09/2019_Arsenal_Tottenham,2019_20,OVER,1.57,1.53,0.6369426751592356,0.6535947712418301,0.6015228426395939,0.6203473945409429,1.058883603429278,1.05359477124183,0.0588836034292779,0.0535947712418301,0.026143790849673332,0.031294824679879873
2019_20_01/09/2019_Everton_Wolves,2019_20,OVER,2.2,2.3,0.45454545454545453,0.4347826086956522,0.43005181347150256,0.411764705882353,1.0569550930996714,1.0559006211180124,0.056955093099671394,0.05590062111801242,-0.04347826086956508,-0.0425230333097093
2019_20_01/12/2019_Leicester_Everton,2019_20,OVER,1.8,1.8,0.5555555555555556,0.5555555555555556,0.5263157894736842,0.5263157894736842,1.0555555555555556,1.0555555555555556,0.05555555555555558,0.05555555555555558,0.0,0.0
2019_20_01/12/2019_Man United_Aston Villa,2019_20,OVER,1.72,1.53,0.5813953488372093,0.6535947712418301,0.549738219895288,0.6203473945409429,1.0575858250276855,1.05359477124183,0.0575858250276855,0.0535947712418301,0.12418300653594772,0.12844145102209592
2019_20_01/12/2019_Norwich_Arsenal,2019_20,OVER,1.4,1.4,0.7142857142857143,0.7142857142857143,0.6818181818181818,0.6818181818181818,1.0476190476190477,1.0476190476190477,0.04761904761904767,0.04761904761904767,0.0,0.0
2019_20_01/12/2019_Wolves_Sheffield United,2019_20,OVER,2.3,2.37,0.4347826086956522,0.42194092827004215,0.411764705882353,0.398477157360406,1.0559006211180124,1.058883603429278,0.05590062111801242,0.0588836034292779,-0.029535864978903037,-0.032269760696156946
2019_20_02/01/2020_Liverpool_Sheffield United,2019_20,OVER,1.53,1.72,0.6535947712418301,0.5813953488372093,0.6203473945409429,0.549738219895288,1.05359477124183,1.0575858250276855,0.0535947712418301,0.0575858250276855,-0.11046511627906974,-0.11382198952879563
2019_20_02/02/2020_Burnley_Arsenal,2019_20,OVER,1.9,1.72,0.5263157894736842,0.5813953488372093,0.5,0.549738219895288,1.0526315789473684,1.0575858250276855,0.05263157894736836,0.0575858250276855,0.10465116279069764,0.09947643979057608
2019_20_02/02/2020_Tottenham_Man City,2019_20,OVER,1.5,1.53,0.6666666666666666,0.6535947712418301,0.6359223300970874,0.6203473945409429,1.0483460559796436,1.05359477124183,0.04834605597964359,0.0535947712418301,-0.019607843137254943,-0.02449188339363184
2019_20_02/07/2020_Man City_Liverpool,2019_20,OVER,1.57,1.72,0.6369426751592356,0.5813953488372093,0.6015228426395939,0.549738219895288,1.058883603429278,1.0575858250276855,0.0588836034292779,0.0575858250276855,-0.08720930232558133,-0.08608920405593457
2019_20_02/07/2020_Sheffield United_Tottenham,2019_20,OVER,2.2,2.1,0.45454545454545453,0.47619047619047616,0.43005181347150256,0.450261780104712,1.0569550930996714,1.0575858250276855,0.056955093099671394,0.0575858250276855,0.04761904761904767,0.046994259761559354
2019_20_02/11/2019_Arsenal_Wolves,2019_20,OVER,1.72,1.66,0.5813953488372093,0.6024096385542169,0.549738219895288,0.5699481865284974,1.0575858250276855,1.0569550930996714,0.0575858250276855,0.056955093099671394,0.03614457831325302,0.03676289168517144
2019_20_02/11/2019_Aston Villa_Liverpool,2019_20,OVER,1.44,1.4,0.6944444444444444,0.7142857142857143,0.6563245823389022,0.6818181818181818,1.058080808080808,1.0476190476190477,0.058080808080807955,0.04761904761904767,0.028571428571428692,0.038842975206611285
2019_20_02/11/2019_Bournemouth_Man United,2019_20,OVER,1.9,1.9,0.5263157894736842,0.5263157894736842,0.5,0.5,1.0526315789473684,1.0526315789473684,0.05263157894736836,0.05263157894736836,0.0,0.0
2019_20_02/11/2019_Brighton_Norwich,2019_20,OVER,1.66,1.57,0.6024096385542169,0.6369426751592356,0.5699481865284974,0.6015228426395939,1.0569550930996714,1.058883603429278,0.056955093099671394,0.0588836034292779,0.0573248407643312,0.05539916935856004
2019_20_02/11/2019_Man City_Southampton,2019_20,OVER,1.22,1.22,0.819672131147541,0.819672131147541,0.7801801801801801,0.7801801801801801,1.0506190133646311,1.0506190133646311,0.05061901336463115,0.05061901336463115,0.0,0.0
2019_20_02/11/2019_Sheffield United_Burnley,2019_20,OVER,2.3,2.37,0.4347826086956522,0.42194092827004215,0.411764705882353,0.398477157360406,1.0559006211180124,1.058883603429278,0.05590062111801242,0.0588836034292779,-0.029535864978903037,-0.032269760696156946
2019_20_02/11/2019_Watford_Chelsea,2019_20,OVER,1.61,1.61,0.6211180124223602,0.6211180124223602,0.588235294117647,0.588235294117647,1.0559006211180124,1.0559006211180124,0.05590062111801242,0.05590062111801242,0.0,0.0
2019_20_02/11/2019_West Ham_Newcastle,2019_20,OVER,1.8,1.8,0.5555555555555556,0.5555555555555556,0.5263157894736842,0.5263157894736842,1.0555555555555556,1.0555555555555556,0.05555555555555558,0.05555555555555558,0.0,0.0
2019_20_03/11/2019_Crystal Palace_Leicester,2019_20,OVER,2.0,1.9,0.5,0.5263157894736842,0.47368421052631576,0.5,1.0555555555555556,1.0526315789473684,0.05555555555555558,0.05263157894736836,0.05263157894736836,0.05555555555555558
2019_20_03/11/2019_Everton_Tottenham,2019_20,OVER,1.72,1.61,0.5813953488372093,0.6211180124223602,0.549738219895288,0.588235294117647,1.0575858250276855,1.0559006211180124,0.0575858250276855,0.05590062111801242,0.06832298136645965,0.07002801120448154
2019_20_03/12/2019_Burnley_Man City,2019_20,OVER,1.44,1.4,0.6944444444444444,0.7142857142857143,0.6563245823389022,0.6818181818181818,1.058080808080808,1.0476190476190477,0.058080808080807955,0.04761904761904767,0.028571428571428692,0.038842975206611285
2019_20_03/12/2019_Crystal Palace_Bournemouth,2019_20,OVER,2.0,1.9,0.5,0.5263157894736842,0.47368421052631576,0.5,1.0555555555555556,1.0526315789473684,0.05555555555555558,0.05263157894736836,0.05263157894736836,0.05555555555555558
2019_20_04/07/2020_Chelsea_Watford,2019_20,OVER,1.72,1.66,0.5813953488372093,0.6024096385542169,0.549738219895288,0.5699481865284974,1.0575858250276855,1.0569550930996714,0.0575858250276855,0.056955093099671394,0.03614457831325302,0.03676289168517144
2019_20_04/07/2020_Leicester_Crystal Palace,2019_20,OVER,2.2,2.1,0.45454545454545453,0.47619047619047616,0.43005181347150256,0.450261780104712,1.0569550930996714,1.0575858250276855,0.056955093099671394,0.0575858250276855,0.04761904761904767,0.046994259761559354
2019_20_04/07/2020_Man United_Bournemouth,2019_20,OVER,1.53,1.53,0.6535947712418301,0.6535947712418301,0.6203473945409429,0.6203473945409429,1.05359477124183,1.05359477124183,0.0535947712418301,0.0535947712418301,0.0,0.0
2019_20_04/07/2020_Norwich_Brighton,2019_20,OVER,2.1,2.2,0.47619047619047616,0.45454545454545453,0.450261780104712,0.43005181347150256,1.0575858250276855,1.0569550930996714,0.0575858250276855,0.056955093099671394,-0.045454545454545525,-0.04488492589468607
2019_20_04/07/2020_Wolves_Arsenal,2019_20,OVER,2.1,2.3,0.47619047619047616,0.4347826086956522,0.450261780104712,0.411764705882353,1.0575858250276855,1.0559006211180124,0.0575858250276855,0.05590062111801242,-0.08695652173913038,-0.08549931600547178
2019_20_04/12/2019_Chelsea_Aston Villa,2019_20,OVER,1.4,1.36,0.7142857142857143,0.7352941176470588,0.6818181818181818,0.7017543859649122,1.0476190476190477,1.0477941176470589,0.04761904761904767,0.047794117647058876,0.02941176470588225,0.029239766081871288
2019_20_04/12/2019_Leicester_Watford,2019_20,OVER,1.61,1.53,0.6211180124223602,0.6535947712418301,0.588235294117647,0.6203473945409429,1.0559006211180124,1.05359477124183,0.05590062111801242,0.0535947712418301,0.05228758169934644,0.05459057071960305
2019_20_04/12/2019_Liverpool_Everton,2019_20,OVER,1.57,1.66,0.6369426751592356,0.6024096385542169,0.6015228426395939,0.5699481865284974,1.058883603429278,1.0569550930996714,0.0588836034292779,0.056955093099671394,-0.054216867469879415,-0.05249120045473421
2019_20_04/12/2019_Man United_Tottenham,2019_20,OVER,1.8,1.8,0.5555555555555556,0.5555555555555556,0.5263157894736842,0.5263157894736842,1.0555555555555556,1.0555555555555556,0.05555555555555558,0.05555555555555558,0.0,0.0
2019_20_04/12/2019_Southampton_Norwich,2019_20,OVER,1.57,1.66,0.6369426751592356,0.6024096385542169,0.6015228426395939,0.5699481865284974,1.058883603429278,1.0569550930996714,0.0588836034292779,0.056955093099671394,-0.054216867469879415,-0.05249120045473421
2019_20_04/12/2019_Wolves_West Ham,2019_20,OVER,1.9,1.8,0.5263157894736842,0.5555555555555556,0.5,0.5263157894736842,1.0526315789473684,1.0555555555555556,0.05263157894736836,0.05555555555555558,0.05555555555555558,0.05263157894736836
2019_20_05/07/2020_Burnley_Sheffield United,2019_20,OVER,2.62,2.75,0.38167938931297707,0.36363636363636365,0.3640776699029127,0.3436754176610979,1.0483460559796436,1.058080808080808,0.04834605597964359,0.058080808080807955,-0.047272727272727244,-0.05603818615751799
2019_20_05/07/2020_Liverpool_Aston Villa,2019_20,OVER,1.5,1.44,0.6666666666666666,0.6944444444444444,0.6359223300970874,0.6563245823389022,1.0483460559796436,1.058080808080808,0.04834605597964359,0.058080808080807955,0.04166666666666674,0.03208293100621251
2019_20_05/07/2020_Newcastle_West Ham,2019_20,OVER,2.0,1.9,0.5,0.5263157894736842,0.47368421052631576,0.5,1.0555555555555556,1.0526315789473684,0.05555555555555558,0.05263157894736836,0.05263157894736836,0.05555555555555558
2019_20_05/07/2020_Southampton_Man City,2019_20,OVER,1.53,1.5,0.6535947712418301,0.6666666666666666,0.6203473945409429,0.6359223300970874,1.05359477124183,1.0483460559796436,0.0535947712418301,0.04834605597964359,0.020000000000000018,0.025106796116505015
2019_20_05/10/2019_Brighton_Tottenham,2019_20,OVER,1.72,1.72,0.5813953488372093,0.5813953488372093,0.549738219895288,0.549738219895288,1.0575858250276855,1.0575858250276855,0.0575858250276855,0.0575858250276855,0.0,0.0
2019_20_05/10/2019_Burnley_Everton,2019_20,OVER,2.1,2.0,0.47619047619047616,0.5,0.450261780104712,0.47368421052631576,1.0575858250276855,1.0555555555555556,0.0575858250276855,0.05555555555555558,0.050000000000000044,0.052019583843329276
2019_20_05/10/2019_Liverpool_Leicester,2019_20,OVER,1.57,1.57,0.6369426751592356,0.6369426751592356,0.6015228426395939,0.6015228426395939,1.058883603429278,1.058883603429278,0.0588836034292779,0.0588836034292779,0.0,0.0
2019_20_05/10/2019_Norwich_Aston Villa,2019_20,OVER,1.57,1.53,0.6369426751592356,0.6535947712418301,0.6015228426395939,0.6203473945409429,1.058883603429278,1.05359477124183,0.0588836034292779,0.0535947712418301,0.026143790849673332,0.031294824679879873
2019_20_05/10/2019_Watford_Sheffield United,2019_20,OVER,2.0,2.1,0.5,0.47619047619047616,0.47368421052631576,0.450261780104712,1.0555555555555556,1.0575858250276855,0.05555555555555558,0.0575858250276855,-0.04761904761904767,-0.04944735311227455
2019_20_05/10/2019_West Ham_Crystal Palace,2019_20,OVER,1.8,1.72,0.5555555555555556,0.5813953488372093,0.5263157894736842,0.549738219895288,1.0555555555555556,1.0575858250276855,0.05555555555555558,0.0575858250276855,0.04651162790697683,0.04450261780104725
2019_20_05/12/2019_Arsenal_Brighton,2019_20,OVER,1.53,1.5,0.6535947712418301,0.6666666666666666,0.6203473945409429,0.6359223300970874,1.05359477124183,1.0483460559796436,0.0535947712418301,0.04834605597964359,0.020000000000000018,0.025106796116505015
2019_20_05/12/2019_Sheffield United_Newcastle,2019_20,OVER,2.3,2.2,0.4347826086956522,0.45454545454545453,0.411764705882353,0.43005181347150256,1.0559006211180124,1.0569550930996714,0.05590062111801242,0.056955093099671394,0.04545454545454519,0.044411547002220386
2019_20_06/07/2020_Tottenham_Everton,2019_20,OVER,1.9,1.9,0.5263157894736842,0.5263157894736842,0.5,0.5,1.0526315789473684,1.0526315789473684,0.05263157894736836,0.05263157894736836,0.0,0.0
2019_20_06/10/2019_Arsenal_Bournemouth,2019_20,OVER,1.33,1.28,0.7518796992481203,0.78125,0.7188160676532769,0.7455268389662029,1.0459973463069439,1.0479166666666666,0.045997346306943854,0.04791666666666661,0.0390625,0.03715939656180578
2019_20_06/10/2019_Man City_Wolves,2019_20,OVER,1.36,1.36,0.7352941176470588,0.7352941176470588,0.7017543859649122,0.7017543859649122,1.0477941176470589,1.0477941176470589,0.047794117647058876,0.047794117647058876,0.0,0.0
