match_id,season,selection,opening_price,closing_price,opening_raw_probability,closing_raw_probability,opening_fair_probability,closing_fair_probability,opening_overround,closing_overround,opening_margin,closing_margin,price_clv,fair_probability_clv,price_sign,fair_sign,odds_ratio,fair_probability_ratio,margin_change,margin_change_abs,price_clv_abs,fair_clv_abs,exception_type,raw_probability_movement,recomputed_price_clv,recomputed_fair_clv
2020_21_02/11/2020_Fulham_West Brom,2020_21,OVER,2.0,2.05,0.5,0.4878048780487805,0.4736842105263157,0.4743589743589744,1.0555555555555556,1.028345418589321,0.0555555555555555,0.028345418589321,-0.0243902439024389,0.0014245014245015,-1.0,1.0,1.025,1.0014245014245016,-0.027210136966234533,0.027210136966234533,0.0243902439024389,0.0014245014245015,MARGIN_EFFECT,-0.012195121951219468,-0.024390243902438935,0.0014245014245015675
2020_21_04/04/2021_Man United_Brighton,2020_21,OVER,1.9,1.91,0.5263157894736842,0.5235602094240838,0.5,0.5102564102564103,1.0526315789473684,1.026072772238154,0.0526315789473683,0.0260727722381539,-0.0052356020942407,0.0205128205128206,-1.0,1.0,1.0052631578947369,1.0205128205128207,-0.0265588067092144,0.0265588067092144,0.0052356020942407,0.0205128205128206,MARGIN_EFFECT,-0.0027555800496004146,-0.005235602094240788,0.020512820512820662
2020_21_21/03/2021_Aston Villa_Tottenham,2020_21,OVER,1.9,1.94,0.5263157894736842,0.5154639175257733,0.5,0.5025641025641026,1.0526315789473684,1.0256679991584263,0.0526315789473683,0.0256679991584263,-0.0206185567010309,0.0051282051282051,-1.0,1.0,1.0210526315789474,1.005128205128205,-0.026963579788942038,0.026963579788942038,0.0206185567010309,0.0051282051282051,MARGIN_EFFECT,-0.01085187194791093,-0.020618556701030966,0.00512820512820511
2021_22_20/11/2021_Leicester_Chelsea,2021_22,OVER,2.03,2.0,0.4926108374384237,0.5,0.4794871794871795,0.4736842105263157,1.0273701957271937,1.0555555555555556,0.0273701957271936,0.0555555555555555,0.0149999999999999,-0.0121024486349565,1.0,-1.0,0.9852216748768474,0.9878975513650434,0.0281853598283619,0.0281853598283619,0.0149999999999999,0.0121024486349565,MARGIN_EFFECT,0.00738916256157629,0.014999999999999902,-0.012102448634956575
2021_22_20/11/2021_Wolves_West Ham,2021_22,OVER,2.0,2.01,0.5,0.4975124378109453,0.4736842105263157,0.4846153846153846,1.0555555555555556,1.0266129669114743,0.0555555555555555,0.0266129669114745,-0.0049751243781093,0.0230769230769232,-1.0,1.0,1.005,1.0230769230769232,-0.02894258864408128,0.02894258864408128,0.0049751243781093,0.0230769230769232,MARGIN_EFFECT,-0.0024875621890546595,-0.004975124378109319,0.023076923076923217
2021_22_23/04/2022_Arsenal_Man United,2021_22,OVER,1.81,1.8,0.5524861878453039,0.5555555555555556,0.5358974358974359,0.5263157894736842,1.0309550873668352,1.0555555555555556,0.0309550873668351,0.0555555555555555,0.0055555555555555,-0.0178796272979098,1.0,-1.0,0.994475138121547,0.9821203727020902,0.024600468188720415,0.024600468188720415,0.0055555555555555,0.0178796272979098,MARGIN_EFFECT,0.0030693677102516803,0.005555555555555536,-0.017879627297909817
2021_22_24/04/2022_Chelsea_West Ham,2021_22,OVER,1.83,1.8,0.5464480874316939,0.5555555555555556,0.5307692307692307,0.5263157894736842,1.0295398748713076,1.0555555555555556,0.0295398748713076,0.0555555555555555,0.0166666666666666,-0.0083905415713194,1.0,-1.0,0.9836065573770492,0.9916094584286805,0.026015680684247977,0.026015680684247977,0.0166666666666666,0.0083905415713194,MARGIN_EFFECT,0.00910746812386165,0.016666666666666607,-0.008390541571319465
2021_22_26/12/2021_Aston Villa_Chelsea,2021_22,OVER,2.05,2.0,0.4878048780487805,0.5,0.4743589743589744,0.4736842105263157,1.028345418589321,1.0555555555555556,0.028345418589321,0.0555555555555555,0.0249999999999999,-0.0014224751066858,1.0,-1.0,0.9756097560975611,0.9985775248933141,0.027210136966234533,0.027210136966234533,0.0249999999999999,0.0014224751066858,MARGIN_EFFECT,0.012195121951219468,0.02499999999999991,-0.0014224751066859165
2022_23_09/04/2023_Leeds_Crystal Palace,2022_23,OVER,2.1,2.11,0.4761904761904761,0.4739336492890995,0.4516971279373368,0.4589743589743589,1.054225158271401,1.0325928671661946,0.054225158271401,0.0325928671661945,-0.0047393364928909,0.0161108640877427,-1.0,1.0,1.0047619047619047,1.0161108640877425,-0.02163229110520648,0.02163229110520648,0.0047393364928909,0.0161108640877427,MARGIN_EFFECT,-0.0022568269013766296,-0.004739336492890933,0.016110864087742538
2022_23_16/10/2022_Aston Villa_Chelsea,2022_23,OVER,2.03,2.0,0.4926108374384237,0.5,0.4794871794871795,0.4736842105263157,1.0273701957271937,1.0555555555555556,0.0273701957271936,0.0555555555555555,0.0149999999999999,-0.0121024486349565,1.0,-1.0,0.9852216748768474,0.9878975513650434,0.0281853598283619,0.0281853598283619,0.0149999999999999,0.0121024486349565,MARGIN_EFFECT,0.00738916256157629,0.014999999999999902,-0.012102448634956575
2022_23_27/04/2023_Everton_Newcastle,2022_23,OVER,2.0,2.05,0.5,0.4878048780487805,0.4736842105263157,0.4743589743589744,1.0555555555555556,1.028345418589321,0.0555555555555555,0.028345418589321,-0.0243902439024389,0.0014245014245015,-1.0,1.0,1.025,1.0014245014245016,-0.027210136966234533,0.027210136966234533,0.0243902439024389,0.0014245014245015,MARGIN_EFFECT,-0.012195121951219468,-0.024390243902438935,0.0014245014245015675
2023_24_30/09/2023_Man United_Crystal Palace,2023_24,OVER,1.8,1.82,0.5555555555555556,0.5494505494505494,0.5263157894736842,0.5333333333333333,1.0555555555555556,1.03021978021978,0.0555555555555555,0.0302197802197801,-0.0109890109890109,0.0133333333333334,-1.0,1.0,1.011111111111111,1.0133333333333334,-0.02533577533577569,0.02533577533577569,0.0109890109890109,0.0133333333333334,MARGIN_EFFECT,-0.006105006105006194,-0.01098901098901095,0.01333333333333342
