edge_bucket,matches,mean_model_probability,mean_market_probability,mean_probability_edge,mean_odds,actual_win_rate,mean_expected_value,total_flat_profit,roi
< -10%,74,0.40423026546387847,0.5281369792223272,-0.12390671375844874,1.819189189189189,0.5675675675675675,-0.2797304994856584,-0.10000000000000053,-0.0013513513513513586
-10% to -5%,519,0.4793468578909628,0.5484533788078989,-0.0691065209169361,1.7619845857418113,0.5549132947976878,-0.17788409572257674,-26.03,-0.05015414258188825
-5% to -2.5%,558,0.5187616258048299,0.5556061343236474,-0.03684450851881737,1.7594982078853045,0.5555555555555556,-0.11397855074162833,-29.030000000000005,-0.05202508960573478
-2.5% to 0%,821,0.5315347081852844,0.5437700838080174,-0.012235375622733097,1.7984043848964677,0.559074299634592,-0.06936403438461497,-16.79,-0.020450669914738123
0% to 2.5%,731,0.545097993627092,0.5335351935248926,0.011562800102199408,1.8280848153214773,0.5266757865937073,-0.02585150356565591,-48.16,-0.06588235294117646
2.5% to 5%,490,0.5662343824183342,0.5299719212898939,0.03626246112844034,1.8348367346938774,0.5183673469387755,0.019200588884318227,-34.11999999999999,-0.06963265306122447
5% to 10%,447,0.6115317870428129,0.5422369900424021,0.0692947970004108,1.7863758389261746,0.5480984340044742,0.07579152768160274,-11.000000000000004,-0.02460850111856824
> 10%,160,0.673618620466726,0.5253491396664616,0.14826948080026442,1.8406875,0.525,0.2264043156665335,-7.190000000000001,-0.044937500000000005
