season,matches,model_brier,market_brier,model_logloss,market_logloss,actual_over_rate
2015_16,378,0.2711017877995928,0.24691476908419058,0.7517056791214061,0.6869078836832567,0.5291005291005291
2016_17,377,0.26245140562324437,0.2414445283018005,0.7256348547522299,0.6757929411633853,0.5464190981432361
2017_18,379,0.26637093447435967,0.2393182745247763,0.7342275041137147,0.6710675863131282,0.5092348284960422
2018_19,379,0.2582377783090575,0.2454389534001412,0.7152213459902175,0.6843751637931628,0.5356200527704486
2019_20,379,0.2577678466075255,0.236641882735793,0.7134300389675655,0.6657268945437304,0.5197889182058048
2020_21,378,0.2721250634339928,0.24898103012589426,0.747326311411785,0.6916017901117233,0.5
2021_22,378,0.2684745521689141,0.24397919062498233,0.740133662072655,0.6810394571979599,0.5396825396825397
2022_23,378,0.2563282261412541,0.23855246389284543,0.7110766302238484,0.669487371716768,0.5291005291005291
2023_24,378,0.24901716833682602,0.22827688855196193,0.6974057499575343,0.6486359641331888,0.6455026455026455
2024_25,377,0.2555908732646144,0.24148217935733887,0.7058542801716494,0.6757041133472138,0.5676392572944297
2025_26,379,0.2785296832309705,0.24741867204374118,0.7807050242456823,0.6881703873814464,0.5488126649076517
