season,observations,unique_matches,mean_opening,mean_closing,mean_odds_change,mean_clv,median_clv,shortened,drifted,unchanged,shortened_rate,drifted_rate
2019_20,760,380,1.975,1.9879868421052633,0.012986842105263156,0.0050824228871825345,0.0,268,268,224,0.3526315789473684,0.3526315789473684
2020_21,760,380,1.9478421052631578,1.9549078947368421,0.007065789473684212,0.0041448106965701935,0.0,274,282,204,0.3605263157894737,0.37105263157894736
2021_22,760,380,1.958828947368421,1.9635657894736842,0.004736842105263163,0.002290969470552188,0.0,293,279,188,0.38552631578947366,0.3671052631578947
2022_23,760,380,1.9642894736842105,1.97225,0.007960526315789472,0.0035558708360649543,0.0,301,305,154,0.3960526315789474,0.40131578947368424
2023_24,760,380,2.028736842105263,2.0382236842105264,0.00948684210526316,0.004500317617981723,0.0,297,308,155,0.3907894736842105,0.4052631578947368
2024_25,760,380,2.018236842105263,2.0263815789473685,0.008144736842105255,0.004593734821879194,0.0,292,304,164,0.38421052631578945,0.4
2025_26,760,380,1.949815789473684,1.9558947368421054,0.006078947368421043,0.0034988610255770516,0.0,295,290,175,0.3881578947368421,0.3815789473684211
